,,s1,e1,s2,e2,s3,e3,s4,e4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k3dNWroEFaQ,http://youtube.com/watch?v=k3dNWroEFaQ,https://youtu.be/k3dNWroEFaQ?t=9,https://youtu.be/k3dNWroEFaQ?t=89,,,,,,,2017-03-24T08:00:09Z,UCLn8FintdYEDCSK6HaX5Q4g,UMB2016 FINAL DVD TRAILER2 -DOTAMA vs NAIKA MC・ｻｶ・・ｷ・・ｦ-,693832,3806,74,0,378,2020/07/09 20:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
er07FQrErsk,http://youtube.com/watch?v=er07FQrErsk,https://youtu.be/er07FQrErsk?t=39,https://youtu.be/er07FQrErsk?t=130,,,,,,,2019-12-12T07:11:55Z,UCLn8FintdYEDCSK6HaX5Q4g,"""MU-TON vs N0uTY"" UMB2018 REVENGE 12/15(・・・)",55890,547,9,0,126,2020/07/09 20:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qLRWhS13QSI,http://youtube.com/watch?v=qLRWhS13QSI,https://youtu.be/qLRWhS13QSI?t=53,https://youtu.be/qLRWhS13QSI?t=201,https://youtu.be/qLRWhS13QSI?t=240,https://youtu.be/qLRWhS13QSI?t=413,,,,,2019-12-27T10:00:09Z,UCLn8FintdYEDCSK6HaX5Q4g,"""MU-TON vs BASE"" UMB2016 GRAND CHAMPIONSHIP FULL HD 12/30(FRI)",287715,3488,48,0,563,2020/07/09 20:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pThrlpJl40Y,http://youtube.com/watch?v=pThrlpJl40Y,https://youtu.be/pThrlpJl40Y?t=38,https://youtu.be/pThrlpJl40Y?t=174,,,,,,,2020-05-08T08:00:27Z,UCLn8FintdYEDCSK6HaX5Q4g,"""・・・・・・・・・ vs TERU""・､ｧ・・ｪ・ｺ・・・ｸ 5/18(SAT)) 12/30(F",39895,815,10,0,303,2020/07/09 20:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L9zglDUi5I0,http://youtube.com/watch?v=L9zglDUi5I0,https://youtu.be/L9zglDUi5I0?t=34,https://youtu.be/L9zglDUi5I0?t=109,,,,,,,2019-12-09T07:17:21Z,UCLn8FintdYEDCSK6HaX5Q4g,"""・｣・・・ｺ vs ・｢ｵ・?ｭ""18 ・ｲ・・・・・ｺ・・・ｸ 7/29(SUN))) 12/",82354,889,20,0,173,2020/07/09 20:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6_vDz5LkgtA,http://youtube.com/watch?v=6_vDz5LkgtA,https://youtu.be/6_vDz5LkgtA?t=124,https://youtu.be/6_vDz5LkgtA?t=238,,,,,,,2020-02-28T09:00:01Z,UCLn8FintdYEDCSK6HaX5Q4g,"""SURRY vs ・・・・ｹｳ・､ｪ"" HD ULTIMATE MC BATTLE2017 THE CHOICE IS YOURS 3/27(MON)))",73291,1216,14,0,273,"2020/07/09 20:24
OYDZnmkiXf4",http://youtube.com/watch?v=OYDZnmkiXf4,https://youtu.be/OYDZnmkiXf4?t=71,https://youtu.be/OYDZnmkiXf4?t=163,,,,,,,2020-01-04T08:00:07Z,UCLn8FintdYEDCSK6HaX5Q4g,"""・・・・ｹｳ・､ｪ vs ・・・・ｸ・・・ｫ・・ｫ・・・""AMPIONSHIP 12/30(FRI))RS 3/27(MON)))",76699,813,18,0,270,"2020/07/09 20:24
jOPWapsV3bc",http://youtube.com/watch?v=jOPWapsV3bc,https://youtu.be/jOPWapsV3bc?t=64,https://youtu.be/jOPWapsV3bc?t=142,https://youtu.be/jOPWapsV3bc?t=206,https://youtu.be/jOPWapsV3bc?t=313,https://youtu.be/jOPWapsV3bc?t=394,https://youtu.be/jOPWapsV3bc?t=484,,,2020-05-03T09:00:18Z,UCLn8FintdYEDCSK6HaX5Q4g,"""MC DOTAMA vs R-・・・・ｮ・"" HD UMB2014 GRAND CHAMPIONSHIP 12/30(TUE)SS 3/",531589,11237,82,0,2747,2020/07/09 20:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fCEAemwnmb8,http://youtube.com/watch?v=fCEAemwnmb8,https://youtu.be/fCEAemwnmb8?t=23,https://youtu.be/fCEAemwnmb8?t=105,,,,,,,2020-02-13T08:00:11Z,UCLn8FintdYEDCSK6HaX5Q4g,UMB2011 ・､ｧ・・ｪ・ｺ・・・ｸ  HI-KING TAKASE vs ・・・・・・・・ｫ・・ｽ,23170,416,4,0,100,2020/07/09 20:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pATMtlTIO4M,http://youtube.com/watch?v=pATMtlTIO4M,n,,,,,,,,2020-04-03T06:00:18Z,UCLn8FintdYEDCSK6HaX5Q4g,UMB2019 GRAND CHAMPIONSHIP Blu-ray & DVD Trailer02,511479,5087,60,0,1673,2020/07/09 20:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#NAME?,http://youtube.com/watch?v=-OZbBQkIwhM,https://youtu.be/-OZbBQkIwhM?t=29,https://youtu.be/-OZbBQkIwhM?t=119,,,,,,,2019-12-17T13:00:00Z,UCLn8FintdYEDCSK6HaX5Q4g,"""R-・・・・ｮ・ vs HIDADDY""012 ・､ｧ・・ｪ・ｺ・・・ｸ 6/24 (Sun)SSHIP",46366,390,6,0,41,2020/07/09 20:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EsDu_iOtztE,http://youtube.com/watch?v=EsDu_iOtztE,https://youtu.be/EsDu_iOtztE?t=23,https://youtu.be/EsDu_iOtztE?t=390,https://youtu.be/EsDu_iOtztE?t=428,https://youtu.be/EsDu_iOtztE?t=581,,,,,2019-12-20T09:30:01Z,UCLn8FintdYEDCSK6HaX5Q4g,"""・・・・ｹｳ・､ｪ vs SAM""017 REVENGE 12/23(SAT)44 (S",209562,3451,37,0,678,2020/07/09 20:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x92UH9NY-fU,http://youtube.com/watch?v=x92UH9NY-fU,https://youtu.be/x92UH9NY-fU?t=95,https://youtu.be/x92UH9NY-fU?t=260,,,,,,,2019-12-27T11:00:12Z,UCLn8FintdYEDCSK6HaX5Q4g,"""NAIKA MC VS MC・・・・・ｬ・・ｪ""6 GRAND CHAMPIONSHIP FULL HD 12/30(FRI)33/27(M",346774,3874,56,0,535,2020/07/09 20:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87rBVPRQzB4,http://youtube.com/watch?v=87rBVPRQzB4,https://youtu.be/87rBVPRQzB4?t=8,https://youtu.be/87rBVPRQzB4?t=166,https://youtu.be/87rBVPRQzB4?t=214,https://youtu.be/87rBVPRQzB4?t=379,,,,,2019-12-17T13:00:01Z,UCLn8FintdYEDCSK6HaX5Q4g,"""JAG-ME vs R-・・・・ｮ・""013 GRAND CHAMPIONSHIP 12/30(MON))D 12",228522,1911,40,0,310,2020/07/09 20:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L9kOIjhVZ10,http://youtube.com/watch?v=L9kOIjhVZ10,https://youtu.be/L9kOIjhVZ10?t=23,https://youtu.be/L9kOIjhVZ10?t=111,,,,,,,2020-02-25T08:00:08Z,UCLn8FintdYEDCSK6HaX5Q4g,"""・・・・ｹｳ・､ｪ vs GOLBY""011 ・・ｱ・ｺｬ・ｺ・・・ｸ 11/13 (Sun)MMON)",19624,332,1,0,81,2020/07/09 20:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mJC1Cr1FvAI,http://youtube.com/watch?v=mJC1Cr1FvAI,https://youtu.be/mJC1Cr1FvAI?t=21,https://youtu.be/mJC1Cr1FvAI?t=185,,,,,,,2019-12-10T05:34:23Z,UCLn8FintdYEDCSK6HaX5Q4g,"""MULBE vs PONY"" UMB2018 ・・ｱ・ｺｬ・ｺ・・・ｸ 11/4(SUN)",22486,557,2,0,63,2020/07/09 20:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDvHsCbd4FM,http://youtube.com/watch?v=EDvHsCbd4FM,https://youtu.be/EDvHsCbd4FM?t=101,https://youtu.be/EDvHsCbd4FM?t=259,https://youtu.be/EDvHsCbd4FM?t=349,https://youtu.be/EDvHsCbd4FM?t=502,https://youtu.be/EDvHsCbd4FM?t=584,https://youtu.be/EDvHsCbd4FM?t=767,,,2020-02-07T09:00:03Z,UCLn8FintdYEDCSK6HaX5Q4g,"""MU-TON vs ・ｼｪ・・･・・・""HD ULTIMATE MC BATTLE2017 THE CHOICE IS YOURS 3/27(MON))",295684,5319,64,0,722,"2020/07/09 20:24
cipJQZvODmg",http://youtube.com/watch?v=cipJQZvODmg,https://youtu.be/cipJQZvODmg?t=24,https://youtu.be/cipJQZvODmg?t=174,,,,,,,2020-02-10T08:00:06Z,UCLn8FintdYEDCSK6HaX5Q4g,"""BASE vs Hardy"" UMB2017 ・､ｧ・・ｪ・ｺ・・・ｸ 11/4(SAT)",30489,517,8,0,84,2020/07/09 20:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK1wT4LsfTU,http://youtube.com/watch?v=UK1wT4LsfTU,n,,,,,,,,2015-10-11T12:43:44Z,UCLn8FintdYEDCSK6HaX5Q4g,UMB 2014 ・・ｱ・ｺｬ・・ｻ・､ｧ・・ｪ・ｺ・・・ｸ EAST & WEST DVD trailer,179518,851,15,0,132,2020/07/09 20:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0-q4pZf_qAs,http://youtube.com/watch?v=0-q4pZf_qAs,n,,,,,,,,2019-07-03T05:02:48Z,UCLn8FintdYEDCSK6HaX5Q4g,UMB2019 7.10 RELEASE THE CHOICE IS YOURS VOL.3 DVD Trailer Part.2 #umb #mcbattle #trailer,98711,853,20,0,267,2020/07/09 20:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RPp-Z4-ZOkA,http://youtube.com/watch?v=RPp-Z4-ZOkA,https://youtu.be/RPp-Z4-ZOkA?t=88,https://youtu.be/RPp-Z4-ZOkA?t=202,https://youtu.be/RPp-Z4-ZOkA?t=278,https://youtu.be/RPp-Z4-ZOkA?t=414,,,,,2020-04-17T09:00:18Z,UCLn8FintdYEDCSK6HaX5Q4g,"""BASE vs ・・･・ｽ､""B2017 THE CHOICE IS YOURS FULL HD 3/27(MON)).2",102784,2200,18,0,371,2020/07/09 20:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0_sx5IANq4k,http://youtube.com/watch?v=0_sx5IANq4k,https://youtu.be/0_sx5IANq4k?t=115,https://youtu.be/0_sx5IANq4k?t=287,,,,,,,2020-03-27T10:00:00Z,UCLn8FintdYEDCSK6HaX5Q4g,"""・・･・ｽ､ vs MOL53""LL HD UMB2017 THE CHOICE IS YOURS  3/27(MON)) #",74383,1423,12,0,189,2020/07/09 20:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U4AAOR7JJBk,http://youtube.com/watch?v=U4AAOR7JJBk,https://youtu.be/U4AAOR7JJBk?t=82,https://youtu.be/U4AAOR7JJBk?t=281,https://youtu.be/U4AAOR7JJBk?t=350,https://youtu.be/U4AAOR7JJBk?t=516,,,,,2020-05-06T09:00:21Z,UCLn8FintdYEDCSK6HaX5Q4g,"""R-・・・・ｮ・ vs GIL"" HD UMB2014 GRAND CHAMPIONSHIP 12/30(TUE))) #u",218825,3273,43,0,1383,2020/07/09 20:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63dWQc8Bp8c,http://youtube.com/watch?v=63dWQc8Bp8c,https://youtu.be/63dWQc8Bp8c?t=34,https://youtu.be/63dWQc8Bp8c?t=113,,,,,,,2020-06-04T08:00:01Z,UCLn8FintdYEDCSK6HaX5Q4g,BALA a.k.a SBKN vs ・・・・・ｫ UMB2019 ・･・・･・・ｷ・・ｺ・・・ｸ 6/9(SUN),40107,582,16,0,441,2020/07/09 20:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uQ6BIRNGxo4,http://youtube.com/watch?v=uQ6BIRNGxo4,https://youtu.be/uQ6BIRNGxo4?t=20,https://youtu.be/uQ6BIRNGxo4?t=185,https://youtu.be/uQ6BIRNGxo4?t=228,https://youtu.be/uQ6BIRNGxo4?t=386,https://youtu.be/uQ6BIRNGxo4?t=435,https://youtu.be/uQ6BIRNGxo4?t=582,,,2019-12-08T08:19:08Z,UCLn8FintdYEDCSK6HaX5Q4g,"""・ｷｦ・ｵ・ vs AUTHORITY""B2018 ・・・・｣ｮ・ｺ・・・ｸ 12/28(SAT)SSU",264646,3849,46,0,986,2020/07/09 20:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hPVZ6fxs-Gg,http://youtube.com/watch?v=hPVZ6fxs-Gg,https://youtu.be/hPVZ6fxs-Gg?t=80,https://youtu.be/hPVZ6fxs-Gg?t=170,,,,,,,2020-05-24T08:00:22Z,UCLn8FintdYEDCSK6HaX5Q4g,"""・・・・･ｽ VS MU-TON""L HD UMB2017 GRAND CHAMPIONSHIP 12/30(・・・)) #u",94409,1462,19,0,593,2020/07/09 20:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cfpJW52AeJg,http://youtube.com/watch?v=cfpJW52AeJg,https://youtu.be/cfpJW52AeJg?t=44,https://youtu.be/cfpJW52AeJg?t=286,,,,,,,2020-02-02T09:00:10Z,UCLn8FintdYEDCSK6HaX5Q4g,"""・､ｿ vs JAKE ""FULL HD UMB2017 GRAND CHAMPIONSHIP 12/30(SAT))",275039,6517,48,0,856,2020/07/09 20:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CnlXj4vy_rI,http://youtube.com/watch?v=CnlXj4vy_rI,https://youtu.be/CnlXj4vy_rI?t=19,https://youtu.be/CnlXj4vy_rI?t=187,,,,,,,2019-12-08T08:02:03Z,UCLn8FintdYEDCSK6HaX5Q4g,"""・・ｱ・ｵｰ vs MC・・ｾ・ｳｶ""18 ・・・・ｵｷ・・・・ｺ・・・ｸ 6/29(FRI))(SAT)",29414,351,11,0,271,2020/07/09 20:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_eB22XG0BBM,http://youtube.com/watch?v=_eB22XG0BBM,https://youtu.be/_eB22XG0BBM?t=105,https://youtu.be/_eB22XG0BBM?t=260,https://youtu.be/_eB22XG0BBM?t=350,https://youtu.be/_eB22XG0BBM?t=503,https://youtu.be/_eB22XG0BBM?t=585,https://youtu.be/_eB22XG0BBM?t=768,,,2020-03-27T11:00:19Z,UCLn8FintdYEDCSK6HaX5Q4g,"""MU-TON vs ・ｼｪ・・･・・・""HD UMB2017 THE CHOICE IS YOURS 3/27(MON)mmb #m",205502,2746,51,0,441,2020/07/09 20:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_CMw8dFwoWo,http://youtube.com/watch?v=_CMw8dFwoWo,https://youtu.be/_CMw8dFwoWo?t=111,https://youtu.be/_CMw8dFwoWo?t=194,,,,,,,2020-03-29T10:00:14Z,UCLn8FintdYEDCSK6HaX5Q4g,"""MC・・ｾ・ｳｶ vs MacAssTiger""LL HD UMB2018 GRAND CHAMPIONSHIP 12/30(SUN)mmc",69593,1107,6,0,288,2020/07/09 20:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S74LUss8f6U,http://youtube.com/watch?v=S74LUss8f6U,https://youtu.be/S74LUss8f6U?t=63,https://youtu.be/S74LUss8f6U?t=231,,,,,,,2020-01-05T08:00:03Z,UCLn8FintdYEDCSK6HaX5Q4g,"""・・ｵ・・・・・・・・・ vs BATTLE・・・・｣・・・｣""RAND CHAMPIONSHIP 12/30(・・・)  #trailer",171720,2318,23,0,393,"2020/07/09 20:24
_Vu2xOv3TDM",http://youtube.com/watch?v=_Vu2xOv3TDM,https://youtu.be/_Vu2xOv3TDM?t=93,https://youtu.be/_Vu2xOv3TDM?t=205,,,,,,,2020-01-03T08:00:01Z,UCLn8FintdYEDCSK6HaX5Q4g,"""・・・・ｹｳ・､ｪ vs ・・・・ｸ・・・ｫ・・ｫ・・・""GRAND CHAMPIONSHIP 12/30(・・・))・)  #trailer",278706,3406,51,0,670,"2020/07/09 20:24
4EYS2WLZCvk",http://youtube.com/watch?v=4EYS2WLZCvk,https://youtu.be/4EYS2WLZCvk?t=32,https://youtu.be/4EYS2WLZCvk?t=209,https://youtu.be/4EYS2WLZCvk?t=262,https://youtu.be/4EYS2WLZCvk?t=423,,,,,2020-01-07T08:00:01Z,UCLn8FintdYEDCSK6HaX5Q4g,"""MU-TON vs ・・・・・・・・・""・ｮｮ・・・・ｺ・・・ｸ 5/6(SAT)  CHAMPIO",81365,1215,16,0,295,2020/07/09 20:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zu9YLuVx0sI,http://youtube.com/watch?v=Zu9YLuVx0sI,https://youtu.be/Zu9YLuVx0sI?t=105,https://youtu.be/Zu9YLuVx0sI?t=225,,,,,,,2020-05-22T10:00:28Z,UCLn8FintdYEDCSK6HaX5Q4g,"""Kowree vs MOL53"" UMB2017 THE CHOICE IS YOURS FULL HD 3/27(MON)",36173,643,5,0,312,2020/07/09 20:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UhZy9n1pQ4A,http://youtube.com/watch?v=UhZy9n1pQ4A,https://youtu.be/UhZy9n1pQ4A?t=146,https://youtu.be/UhZy9n1pQ4A?t=230,https://youtu.be/UhZy9n1pQ4A?t=297,https://youtu.be/UhZy9n1pQ4A?t=393,https://youtu.be/UhZy9n1pQ4A?t=450,https://youtu.be/UhZy9n1pQ4A?t=519,,,2020-06-05T10:00:32Z,UCLn8FintdYEDCSK6HaX5Q4g,"""・・・・・・・・・ vs ・・・・ｸ・・・ｫ・・ｫ・・・""S YOURS FULL HD 3/20(TUE))・)  #trailer",216269,2277,65,0,2030,"2020/07/09 20:24
bu8i577LfeE",http://youtube.com/watch?v=bu8i577LfeE,https://youtu.be/bu8i577LfeE?t=61,https://youtu.be/bu8i577LfeE?t=140,https://youtu.be/bu8i577LfeE?t=202,https://youtu.be/bu8i577LfeE?t=282,,,,,2019-12-27T09:00:11Z,UCLn8FintdYEDCSK6HaX5Q4g,"""DOTAMA vs NAIKA MC"" FULL HD UMB2016 GRAND CHAMPIONSHIP 12/30(FRI)",134117,1531,17,0,253,2020/07/09 20:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0IZRwt0nAPQ,http://youtube.com/watch?v=0IZRwt0nAPQ,https://youtu.be/0IZRwt0nAPQ?t=22,https://youtu.be/0IZRwt0nAPQ?t=194,,,,,,,2020-02-28T08:00:00Z,UCLn8FintdYEDCSK6HaX5Q4g,"""・ｻ・・・ｿ vs ・・・・ｹｳ・､ｪ""・・ｱ・ｺｬ・ｺ・・・ｸ 10/15(SUN)PP 12/30(",34625,563,13,0,94,2020/07/09 20:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zWIUMDBEOA0,http://youtube.com/watch?v=zWIUMDBEOA0,https://youtu.be/zWIUMDBEOA0?t=57,https://youtu.be/zWIUMDBEOA0?t=128,,,,,,,2020-02-15T08:00:12Z,UCLn8FintdYEDCSK6HaX5Q4g,"""Jony the sonata vs ・・・・・・・・ｫ・・ｽ""RAND CHAMPIONSHIP 12/30(FRI)TTUE))・)  ",24186,304,6,0,87,2020/07/09 20:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9BIVSOMjKtE,http://youtube.com/watch?v=9BIVSOMjKtE,https://youtu.be/9BIVSOMjKtE?t=110,https://youtu.be/9BIVSOMjKtE?t=231,,,,,,,2020-03-13T09:00:06Z,UCLn8FintdYEDCSK6HaX5Q4g,"""・・ｦ・・ｸ・・・・・・ vs MC・・ｾ・ｳｶ""MATE MC BATTLE2017 THE CHOICE IS YOURS 3/27(MON)rr",49533,681,20,0,326,"2020/07/09 20:24
SG8OFUAnB6E",http://youtube.com/watch?v=SG8OFUAnB6E,,,,,,,,,2019-12-17T13:00:05Z,UCLn8FintdYEDCSK6HaX5Q4g,"""R-・・・・ｮ・ vs ・・・・ｹｳ・､ｪ""RAND CHAMPIONSHIP [ENG SUBS]R-Shitei vs  Shinpeita UMB2010 GRAND CHAMPIONSHIPP",580830,7086,106,0,1024,"2020/07/09 20:24
HGGdp69nfUQ",http://youtube.com/watch?v=HGGdp69nfUQ,,,,,,,,,2020-07-03T09:00:04Z,UCLn8FintdYEDCSK6HaX5Q4g,"""・・ｵ・・・・・・・・・ vs ・・?・・ｼ・・・・・ｳ""IS YOURS FULL HD 3/20(TUE))npeita UMB2010 GRAN",137194,2626,33,0,870,2020/07/09 20:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DvtxgIIOh9g,http://youtube.com/watch?v=DvtxgIIOh9g,https://youtu.be/DvtxgIIOh9g?t=15,https://youtu.be/DvtxgIIOh9g?t=179,https://youtu.be/DvtxgIIOh9g?t=220,https://youtu.be/DvtxgIIOh9g?t=394,https://youtu.be/DvtxgIIOh9g?t=448,https://youtu.be/DvtxgIIOh9g?t=613,,,2019-12-17T13:00:02Z,UCLn8FintdYEDCSK6HaX5Q4g,"""DOTAMA vs R-・・・・ｮ・""013 GRAND CHAMPIONSHIP 12/30(MON))FULL",986848,11465,172,0,953,2020/07/09 20:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d2_xDMNY8Sg,http://youtube.com/watch?v=d2_xDMNY8Sg,https://youtu.be/d2_xDMNY8Sg?t=108,https://youtu.be/d2_xDMNY8Sg?t=236,,,,,,,2020-04-05T11:00:14Z,UCLn8FintdYEDCSK6HaX5Q4g,"""・・・・・・・・・ vs MU-TON""UMB2017 THE CHOICE IS YOURS 3/27(MON)//20(TUE)",41982,734,12,0,197,2020/07/09 20:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_dXXWAtFdds,http://youtube.com/watch?v=_dXXWAtFdds,https://youtu.be/_dXXWAtFdds?t=112,https://youtu.be/_dXXWAtFdds?t=236,,,,,,,2020-03-27T09:00:16Z,UCLn8FintdYEDCSK6HaX5Q4g,"""・・・・ｸ・・・ｫ・・ｫ・・・ vs GIL""2017 THE CHOICE IS YOURS 3/27(MON))(TUE))npeit",76523,1080,20,0,272,2020/07/09 20:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qnMS4H6vKSE,http://youtube.com/watch?v=qnMS4H6vKSE,https://youtu.be/qnMS4H6vKSE?t=151,https://youtu.be/qnMS4H6vKSE?t=230,,,,,,,2020-02-22T09:00:16Z,UCLn8FintdYEDCSK6HaX5Q4g,"""Ry-lax vs ・・・・ｸ・・・ｫ・・ｫ・・・""2014 GRANDCHAMPIONSHIP 12/30(TUE))UE))npeita ",345612,5914,51,0,1428,2020/07/09 20:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eVVUGvHVads,http://youtube.com/watch?v=eVVUGvHVads,https://youtu.be/eVVUGvHVads?t=24,https://youtu.be/eVVUGvHVads?t=106,,,,,,,2019-12-08T07:46:40Z,UCLn8FintdYEDCSK6HaX5Q4g,"""・・・・・ｬ vs G-HOPE""018 ・・ｷ・・・・ｺ・・・ｸ 5/19(SAT)HHAMP",16783,208,6,0,103,2020/07/09 20:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
