,,s1,e1,s2,e2,s3,e3,s4,e4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#NAME?,http://youtube.com/watch?v=-Ayv6vwNtaA,https://youtu.be/-Ayv6vwNtaA?t=28,https://youtu.be/-Ayv6vwNtaA?t=183,,,,,,,2019-12-10T06:22:37Z,UCLn8FintdYEDCSK6HaX5Q4g,"""PONEY vs MU-TON"" UMB2018 REVENGE 12/15(SAT)",211008,1975,30,0,309,2020/07/09 20:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9Jn4hGoyR7U,http://youtube.com/watch?v=9Jn4hGoyR7U,n,,,,,,,,2017-03-02T02:59:23Z,UCLn8FintdYEDCSK6HaX5Q4g,UMB 2016 FINAL DVD Trailer,824941,3896,98,0,1258,2020/07/09 20:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XP7WbjPkFWk,http://youtube.com/watch?v=XP7WbjPkFWk,https://youtu.be/XP7WbjPkFWk?t=32,https://youtu.be/XP7WbjPkFWk?t=200,,,,,,,2020-01-06T08:00:06Z,UCLn8FintdYEDCSK6HaX5Q4g,"""・・・・・・・・ｫ・・ｽ vs R-・・・・ｮ・""・ｺ・・・ｸ22/30(SUN)aattl",287458,2662,32,0,521,2020/07/09 20:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DADGhPlj9pk,http://youtube.com/watch?v=DADGhPlj9pk,https://youtu.be/DADGhPlj9pk?t=62,https://youtu.be/DADGhPlj9pk?t=240,,,,,,,2019-12-17T13:00:02Z,UCLn8FintdYEDCSK6HaX5Q4g,"""・・ｩ・・ｲ vs R-・・・・ｮ・""GRAND CHAMPIONSHIP 12/30(SUN))ttle #ra",224970,1799,21,0,324,2020/07/09 20:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oea3zrCp-m8,http://youtube.com/watch?v=Oea3zrCp-m8,https://youtu.be/Oea3zrCp-m8?t=59,https://youtu.be/Oea3zrCp-m8?t=146,,,,,,,2020-01-02T08:00:02Z,UCLn8FintdYEDCSK6HaX5Q4g,"""DOTAMA vs R ・・・・ｮ・""011GRAND CHAMPIONSHIP 12/30(FRI)))ttl",202203,2370,26,0,425,2020/07/09 20:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QId9EVTnYrg,http://youtube.com/watch?v=QId9EVTnYrg,https://youtu.be/QId9EVTnYrg?t=20,https://youtu.be/QId9EVTnYrg?t=193,,,,,,,2017-03-26T13:57:27Z,UCLn8FintdYEDCSK6HaX5Q4g,UMB2016 FINAL DVD TRAILER 4 -BASE vs ・・?・・ｼ・・・・・ｳ,1729026,7639,220,0,1041,2020/07/09 20:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bT6n2opmMW4,http://youtube.com/watch?v=bT6n2opmMW4,https://youtu.be/bT6n2opmMW4?t=89,https://youtu.be/bT6n2opmMW4?t=196,,,,,,,2020-02-23T08:00:09Z,UCLn8FintdYEDCSK6HaX5Q4g,"""・・・・ｹｳ・､ｪ vs ・・・・・・・・ｫ・・ｽ""CHAMPIONSHIP 12/30(FRI)aapp13",125423,1772,28,0,391,"2020/07/09 20:24
AkBCe9nvy0k",http://youtube.com/watch?v=AkBCe9nvy0k,n,,,,,,,,2020-03-17T06:00:05Z,UCLn8FintdYEDCSK6HaX5Q4g,UMB2019 GRAND CHAMPIONSHIP Blu-ray & DVD Trailer01,1203317,11215,146,0,3845,"2020/07/09 20:24
04lU0xP5fSw",http://youtube.com/watch?v=04lU0xP5fSw,n,,,,,,,,2019-03-28T08:29:11Z,UCLn8FintdYEDCSK6HaX5Q4g,UMB2018 FINAL DVD [2DVD] Trailer Part.2,549223,3631,72,0,945,"2020/07/09 20:24
_DvkKRVtZqY",http://youtube.com/watch?v=_DvkKRVtZqY,n,,,,,,,,2016-03-15T16:52:21Z,UCLn8FintdYEDCSK6HaX5Q4g,UMB2015 FINAL DVD TRAILER vol.1,587407,1980,54,0,631,"2020/07/09 20:24
zSj-YmVvw9I",http://youtube.com/watch?v=zSj-YmVvw9I,https://youtu.be/zSj-YmVvw9I?t=108,https://youtu.be/zSj-YmVvw9I?t=235,,,,,,,2020-03-20T10:00:26Z,UCLn8FintdYEDCSK6HaX5Q4g,"""・・・・・・・・・ vs MU-TON""ULTIMATE MC BATTLE2017 THE CHOICE IS YOURS 3/27(MON))",220904,3425,35,0,647,"2020/07/09 20:24
gOyQ9tTp0aU",http://youtube.com/watch?v=gOyQ9tTp0aU,https://youtu.be/gOyQ9tTp0aU?t=23,https://youtu.be/gOyQ9tTp0aU?t=186,,,,,,,2019-12-10T05:15:52Z,UCLn8FintdYEDCSK6HaX5Q4g,"""Disry vs SKRYU"" UMB2018 ・・・・ｪ・・ｺ・・・ｸ 10/14(SUN)",55659,1132,9,0,173,2020/07/09 20:24
LOT6AJVwL_A,http://youtube.com/watch?v=LOT6AJVwL_A,n,,,,,,,,2013-11-14T08:27:20Z,UCLn8FintdYEDCSK6HaX5Q4g,・・・・ｹｳ・､ｪ - M.B.H・\・MC BATTLE HISTORY・\・,142522,992,25,0,62,2020/07/09 20:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fetbrk12oZ4,http://youtube.com/watch?v=Fetbrk12oZ4,n,,,,,,,,2014-03-11T19:01:49Z,UCLn8FintdYEDCSK6HaX5Q4g,R-・・・・ｮ・ -・ｽｿ・・・・・ｪ・・・・･ｴ・・・ -,1711870,10276,247,0,744,2020/07/09 20:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GKXBYZug0LY,http://youtube.com/watch?v=GKXBYZug0LY,https://youtu.be/GKXBYZug0LY?t=14,https://youtu.be/GKXBYZug0LY?t=172,,,,,,,2019-12-25T08:00:13Z,UCLn8FintdYEDCSK6HaX5Q4g,"""NAIKA MC vs MC・・・・・・・・ｬ・・ｪ a.k.a ・ｵ､・・・・ｨｲ・ｦｻ""・ｺ・・・ｸ 11/02(SUN))))",143328,2915,16,0,457,"2020/07/09 20:24
1Uo64pwrahU",http://youtube.com/watch?v=1Uo64pwrahU,https://youtu.be/1Uo64pwrahU?t=17,https://youtu.be/1Uo64pwrahU?t=155,,,,,,,2019-12-12T07:26:04Z,UCLn8FintdYEDCSK6HaX5Q4g,"""MU-TON vs ENEMY"" UMB2018 REVENGE 12/27(FRI)",89532,1267,9,0,132,2020/07/09 20:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qJfW54Pp3GY,http://youtube.com/watch?v=qJfW54Pp3GY,n,,,,,,,,2014-05-18T05:13:47Z,UCLn8FintdYEDCSK6HaX5Q4g,R-・・・・ｮ・ - ・・ｯ・・・・・ｫ・\・・・・・・・・・ｪ・・?・・ｷ・\・ (Lyric Video) feat. SHINGO・・・・･ｿ・・・,281802,1582,31,0,74,2020/07/09 20:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TTmTiV69J2w,http://youtube.com/watch?v=TTmTiV69J2w,https://youtu.be/TTmTiV69J2w?t=66,https://youtu.be/TTmTiV69J2w?t=224,https://youtu.be/TTmTiV69J2w?t=279,https://youtu.be/TTmTiV69J2w?t=413,https://youtu.be/TTmTiV69J2w?t=466,https://youtu.be/TTmTiV69J2w?t=627,https://youtu.be/TTmTiV69J2w?t=693,https://youtu.be/TTmTiV69J2w?t=834,2019-12-23T08:03:48Z,UCLn8FintdYEDCSK6HaX5Q4g,"""DOTAMA vs ・・ｵ・・・・・・・・・""B2017 GRAND CHAMPIONSHIP 12/30(SAT))・･ｿ・・・NN))",880896,8748,206,0,2235,2020/07/09 20:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
l2NVb2_pzAw,http://youtube.com/watch?v=l2NVb2_pzAw,https://youtu.be/l2NVb2_pzAw?t=36,https://youtu.be/l2NVb2_pzAw?t=189,https://youtu.be/l2NVb2_pzAw?t=234,https://youtu.be/l2NVb2_pzAw?t=408,https://youtu.be/l2NVb2_pzAw?t=450,https://youtu.be/l2NVb2_pzAw?t=603,,,2020-04-25T08:00:15Z,UCLn8FintdYEDCSK6HaX5Q4g,"""BALA a.k.a SBKN vs T-TANGG"" UMB2019・･・・･・・ｷ・・ｺ・・・ｸ 6/9(SUN)",165619,2633,51,0,2168,2020/07/09 20:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D6Adecjup0I,http://youtube.com/watch?v=D6Adecjup0I,https://youtu.be/D6Adecjup0I?t=110,https://youtu.be/D6Adecjup0I?t=194,,,,,,,2020-03-28T10:00:07Z,UCLn8FintdYEDCSK6HaX5Q4g,"""ALCI vs MU-TON"" FULL HD UMB2018 GRAND CHAMPIONSHIP 12/30(SUN)",229015,3040,32,0,566,2020/07/09 20:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
