"KFi3tovlMgE","http://youtube.com/watch?v=KFi3tovlMgE","2020-02-18T08:27:26Z","UCe_EvY8GrvYgx8PbwRBc75g","MY.vs.がーどまん.凱旋MCbattle東西選抜冬ノ陣2020.ベスト32","1736783","24774","663","0","1031","2020-07-09 20:41:45"
"_i62LDNA5Po","http://youtube.com/watch?v=_i62LDNA5Po","2019-12-03T09:00:23Z","UCe_EvY8GrvYgx8PbwRBc75g","【延長戦】呂布カルマ×BASE×K.Lee.vs.CIMA×S-kaine×RAGSHOT.凱旋MCbattle東西選抜秋ノ陣2019準決勝","553849","7965","60","0","124","2020-07-09 20:41:45"
"qRACH7uDxgA","http://youtube.com/watch?v=qRACH7uDxgA","2019-11-03T07:40:14Z","UCe_EvY8GrvYgx8PbwRBc75g","じょうvs晋平太.凱旋MCbattle東西選抜秋ノ陣2019","675508","8534","112","0","841","2020-07-09 20:41:45"
"TrTZfRm_2Jg","http://youtube.com/watch?v=TrTZfRm_2Jg","2020-02-09T09:05:28Z","UCe_EvY8GrvYgx8PbwRBc75g","NovelCore.vs.呂布カルマ.凱旋MCbattle東西選抜冬ノ陣2020.1回戦","859508","13801","126","0","2755","2020-07-09 20:41:45"
"aeWuBgWR5ps","http://youtube.com/watch?v=aeWuBgWR5ps","2020-03-06T08:00:27Z","UCe_EvY8GrvYgx8PbwRBc75g","HARDYvsMU-TON.凱旋MCbattle東西選抜冬ノ陣2020.ベスト16","628990","8962","147","0","2276","2020-07-09 20:41:45"
"VZSG_uqRfJM","http://youtube.com/watch?v=VZSG_uqRfJM","2019-11-14T07:04:03Z","UCe_EvY8GrvYgx8PbwRBc75g","HARDYvsバチスタ.凱旋MCbattle東西選抜秋ノ陣2019","640543","5990","138","0","1339","2020-07-09 20:41:45"
"I28GlvFmwDA","http://youtube.com/watch?v=I28GlvFmwDA","2019-04-28T05:01:04Z","UCe_EvY8GrvYgx8PbwRBc75g","がーどまん.vs.バチスタ.凱旋MC battle東西選抜春ノ陣2019.1回戦","1965512","20389","454","0","1740","2020-07-09 20:41:45"
"APKKe0cJH8U","http://youtube.com/watch?v=APKKe0cJH8U","2019-11-02T07:30:01Z","UCe_EvY8GrvYgx8PbwRBc75g","SAMx韻マン vs じょうxDOPEMAN.凱旋MCbattle東西選抜秋ノ陣2019","1408007","12445","177","0","2185","2020-07-09 20:41:45"
"Q8rGJIEesSI","http://youtube.com/watch?v=Q8rGJIEesSI","2019-08-24T08:41:02Z","UCe_EvY8GrvYgx8PbwRBc75g","韻マン.vs.PONEY.凱旋MC battle東西選抜夏ノ陣2019.１回戦","2097733","20193","285","0","1789","2020-07-09 20:41:45"
"i2LeL0j3pxM","http://youtube.com/watch?v=i2LeL0j3pxM","2020-03-08T08:10:09Z","UCe_EvY8GrvYgx8PbwRBc75g","呂布カルマvsBALA a.k.a.SBKN.凱旋MCbattle東西選抜冬ノ陣2020.ベスト16","580183","6218","94","0","1354","2020-07-09 20:41:45"
